t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.14,0.59,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.5999999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.6099999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.6199999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.6299999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.6399999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.6499999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.6599999999999999,325448.0,207126,38865,17,0.8419482293258755,0.15798266723033397,6.910344379044584e-05
0.14,0.6699999999999999,325448.0,207126,38865,17,0.8419482293258755,0.15798266723033397,6.910344379044584e-05
0.14,0.6799999999999999,325448.0,207126,38865,17,0.8419482293258755,0.15798266723033397,6.910344379044584e-05
0.14,0.69,325448.0,207126,38865,17,0.8419482293258755,0.15798266723033397,6.910344379044584e-05
0.14,0.7,325448.0,207126,38865,17,0.8419482293258755,0.15798266723033397,6.910344379044584e-05
0.15000000000000002,0.2,325448.0,207473,18212,20323,0.8433587525608923,0.0740301128418588,0.08261113459724886
0.15000000000000002,0.21000000000000002,325448.0,207473,20688,17847,0.8433587525608923,0.08409482618451432,0.07254642125459335
0.15000000000000002,0.22,325448.0,207473,24397,14138,0.8433587525608923,0.0991715716562063,0.05746967578290137
0.15000000000000002,0.23,325448.0,207473,24397,14138,0.8433587525608923,0.0991715716562063,0.05746967578290137
0.15000000000000002,0.24,325448.0,207473,24397,14138,0.8433587525608923,0.0991715716562063,0.05746967578290137
0.15000000000000002,0.25,325448.0,207473,27207,11328,0.8433587525608923,0.11059396442392118,0.0460472830151865
0.15000000000000002,0.26,325448.0,207473,28246,10289,0.8433587525608923,0.1148174043120549,0.04182384312705278
0.15000000000000002,0.27,325448.0,207473,28246,10289,0.8433587525608923,0.1148174043120549,0.04182384312705278
0.15000000000000002,0.28,325448.0,207473,28647,9888,0.8433587525608923,0.11644743260381776,0.04019381483528991
0.15000000000000002,0.29,325448.0,207473,31698,6837,0.8433587525608923,0.12884946830997365,0.02779177912913401
0.15000000000000002,0.3,325448.0,207473,33106,5429,0.8433587525608923,0.13457285941920588,0.022068388019901793
0.15000000000000002,0.31,325448.0,207473,34003,4532,0.8433587525608923,0.13821908230626645,0.018422165132841208
0.15000000000000002,0.32,325448.0,207473,35150,3385,0.8433587525608923,0.14288153230789244,0.013759715131215246
0.15000000000000002,0.32999999999999996,325448.0,207473,35150,3385,0.8433587525608923,0.14288153230789244,0.013759715131215246
0.15000000000000002,0.33999999999999997,325448.0,207473,35168,3367,0.8433587525608923,0.14295470066014113,0.013686546778966538
0.15000000000000002,0.35,325448.0,207473,35168,3367,0.8433587525608923,0.14295470066014113,0.013686546778966538
0.15000000000000002,0.36,325448.0,207473,35168,3367,0.8433587525608923,0.14295470066014113,0.013686546778966538
0.15000000000000002,0.37,325448.0,207473,35978,2557,0.8433587525608923,0.14624727651133296,0.010393970927774707
0.15000000000000002,0.38,325448.0,207473,35978,2557,0.8433587525608923,0.14624727651133296,0.010393970927774707
0.15000000000000002,0.39,325448.0,207473,36636,1899,0.8433587525608923,0.14892198627686903,0.007719261162238626
